#          time         x_star         y_star           x_p1           y_p1           x_p2           y_p2           x_p3           y_p3           x_p4           y_p4 
       1.78846    -0.00617654    -0.00245311        1.89343       0.703146      -0.851256       0.525882      -0.264864       0.448739       0.152891      -0.171062 
       1.80769      -0.006112    -0.00258847        1.87703       0.746482      -0.884354       0.468324      -0.338906       0.395222       0.211384     -0.0532038 
       1.82692    -0.00604307    -0.00272156        1.85964       0.789425      -0.913564       0.408682      -0.402527       0.329258       0.190301      0.0819609 
       1.84615       -0.00597    -0.00285079        1.84126        0.83195      -0.938753       0.347219      -0.453626       0.252816      0.0895297       0.181379 
       1.86538    -0.00589428    -0.00297481        1.82192       0.874036       -0.95981       0.284207      -0.490455       0.168231       -0.05286       0.199281 
       1.88462    -0.00581816    -0.00309361        1.80161       0.915662      -0.976638       0.219922      -0.511696      0.0781453      -0.175154       0.127978 
       1.90385    -0.00574335    -0.00320859        1.78036       0.956804      -0.989162        0.15465      -0.516515     -0.0145712      -0.229326     0.00233361 
       1.92308    -0.00567037    -0.00332173        1.75817       0.997443      -0.997324      0.0886775      -0.504612       -0.10691      -0.202331      -0.126494 
       1.94231    -0.00559871    -0.00343473        1.73505        1.03756       -1.00109      0.0222976      -0.476249      -0.195825      -0.110241      -0.215373 
       1.96154    -0.00552725    -0.00354874        1.71101        1.07712       -1.00044     -0.0441965      -0.432257      -0.278348      0.0147595      -0.237961 
       1.98077    -0.00545457    -0.00366429        1.68608        1.11612      -0.995367       -0.11051       -0.37402      -0.351693       0.132957      -0.186268 
             2    -0.00537916    -0.00378116        1.66025        1.15453      -0.985905      -0.176349      -0.303433      -0.413374       0.203306     -0.0729401 
       2.01923    -0.00529976    -0.00389831        1.63356        1.19233      -0.972091      -0.241422      -0.222837      -0.461298        0.19396      0.0654485 
       2.03846    -0.00521601    -0.00401404          1.606        1.22951      -0.953985      -0.305441      -0.134933      -0.493857       0.100745       0.173467 
       2.05769    -0.00512886     -0.0041268         1.5776        1.26604      -0.931666      -0.368121     -0.0426754      -0.509981     -0.0395355        0.20235 
       2.07692     -0.0050401    -0.00423627        1.54837         1.3019      -0.905232      -0.429185       0.050841      -0.509186      -0.165898       0.142006 
       2.09615    -0.00495103    -0.00434346        1.51833        1.33708      -0.874801      -0.488361       0.142501       -0.49158      -0.230206      0.0234752 
       2.11538    -0.00486195    -0.00444984        1.48749        1.37156      -0.840507      -0.545388       0.229286      -0.457847      -0.215965      -0.105788 
       2.13462    -0.00477225     -0.0045567        1.45586        1.40532      -0.802502      -0.600013       0.308383      -0.409215      -0.133705      -0.202965 
       2.15385    -0.00468081    -0.00466484        1.42347        1.43833      -0.760955      -0.651993        0.37728      -0.347391     -0.0112136      -0.238185 
       2.17308    -0.00458613    -0.00477446        1.39034         1.4706      -0.716049        -0.7011       0.433841      -0.274488       0.112828       -0.19791 
       2.19231    -0.00448663    -0.00488505        1.35647        1.50209      -0.667985      -0.747114       0.476371      -0.192945       0.194495     -0.0899845 
       2.21154    -0.00438098    -0.00499512        1.32189        1.53279      -0.616975      -0.789834       0.503649      -0.105428       0.196878      0.0504255 
       2.23077    -0.00426887    -0.00510247        1.28662        1.56269      -0.563246      -0.829071       0.514955     -0.0147448       0.112061        0.16594 
          2.25     -0.0041515    -0.00520507        1.25067        1.59176      -0.507037      -0.864652       0.510073      0.0762473     -0.0247084       0.205561 
       2.26923    -0.00403089     -0.0053022        1.21407        1.62001      -0.448596      -0.896419       0.489281       0.164727      -0.154031       0.156812 
       2.28846    -0.00390875    -0.00539444        1.17683         1.6474      -0.388183      -0.924235       0.453325       0.247987      -0.227968      0.0463541 
       2.30769    -0.00378589    -0.00548296        1.13897        1.67393      -0.326067      -0.947977       0.403391       0.323508       -0.22653     -0.0823809 
       2.32692    -0.00366235    -0.00556892        1.10052        1.69958      -0.262521      -0.967541       0.341063       0.389019      -0.154663      -0.187136 
       2.34615    -0.00353756    -0.00565317        1.06149        1.72434      -0.197829      -0.982843        0.26827       0.442556     -0.0355655      -0.234759 
       2.36538    -0.00341054    -0.00573617         1.0219        1.74819      -0.132275      -0.993817       0.187238       0.482506      0.0934162       -0.20624 
       2.38462       -0.00328    -0.00581766       0.981777        1.77113     -0.0661503       -1.00042       0.100428       0.507652       0.185732      -0.104565 
       2.40385    -0.00314487     -0.0058964       0.941139        1.79314     0.00025321       -1.00262       0.010471       0.517203       0.199735      0.0366212 
       2.42308    -0.00300506    -0.00597036       0.900008        1.81421      0.0666422        -1.0004     -0.0798951       0.510812       0.124111       0.158526 
       2.44231    -0.00286199    -0.00603776       0.858405        1.83433       0.132724      -0.993797      -0.167901       0.488602     -0.0078547        0.20863 
       2.46154    -0.00271788    -0.00609812       0.816352        1.85349       0.198207      -0.982823      -0.250816       0.451159      -0.139093       0.171979 
       2.48077    -0.00257461    -0.00615224       0.773871        1.87168       0.262803      -0.967535       -0.32603       0.399538      -0.222091      0.0704579 
           2.5    -0.00243322    -0.00620153       0.730986        1.88889       0.326228      -0.948002      -0.391125       0.335239      -0.233435     -0.0567672 
       2.51923      -0.002294    -0.00624753       0.687717        1.90511       0.388204      -0.924312      -0.443959        0.26018      -0.172512      -0.168298 
       2.53846    -0.00215656    -0.00629163       0.644088        1.92033       0.448458      -0.896572      -0.482735       0.176649     -0.0577412      -0.227997 
       2.55769    -0.00201987    -0.00633484       0.600121        1.93455       0.506725      -0.864906      -0.506077      0.0872515       0.075174      -0.211472 
       2.57692    -0.00188244    -0.00637749       0.555841        1.94775       0.562752      -0.829456      -0.513085    -0.00517148       0.177313      -0.116835 
       2.59615    -0.00174282    -0.00641875       0.511269        1.95993       0.616292       -0.79038      -0.503386     -0.0976272       0.202688      0.0238598 
       2.61538    -0.00160056     -0.0064569       0.466429        1.97109       0.667111      -0.747851      -0.477165      -0.187073        0.13696       0.150992 
       2.63462    -0.00145667    -0.00649041       0.421345        1.98121       0.714989      -0.702059      -0.435175      -0.270525      0.0110136       0.211203 
       2.65385    -0.00131286    -0.00651894       0.376041         1.9903       0.759715      -0.653206      -0.378724      -0.345168       -0.12108       0.186983 
       2.67308    -0.00117056    -0.00654326       0.330539        1.99834       0.801096      -0.601508      -0.309639      -0.408471      -0.212482      0.0951354 
       2.69231    -0.00103051    -0.00656468       0.284865        2.00534        0.83895      -0.547193      -0.230201      -0.458282      -0.236487     -0.0296636 
       2.71154   -0.000892679    -0.00658468       0.239041        2.01128       0.873114      -0.490501      -0.143065      -0.492919      -0.186962      -0.147184 
       2.73077   -0.000756402    -0.00660462       0.193092        2.01618       0.903439      -0.431683     -0.0511575      -0.511235     -0.0773817      -0.218572 
          2.75   -0.000620302    -0.00662551       0.147041        2.02001       0.929794      -0.370996      0.0424392      -0.512661      0.0584278      -0.214173 
